first line is for explaination; sec line: # of batches; 3rd line:# of layers; first col: time wait for previous layer; second colparam size in bytes
1
161
552.6383717854818,4000
27.163823445638034,8192000
240.29943678114145,8192
3.1736161973741366,8192
842.3699273003473,4194304
20.239088270399257,2048
0,2048
588.9945560031465,9437184
64.05512491862008,2048
0,2048
772.8576660156251,4194304
136.48668924967458,8192
26.718775431314874,8192
752.3324754503038,4194304
28.785069783528705,2048
0,2048
582.6102362738719,9437184
53.64418029785156,2048
0,2048
793.9815521240237,4194304
176.14894443088082,8192
25.80218844943586,8192
1813.5229746500652,8388608
137.0535956488712,8192
0,8192
789.0913221571183,4194304
36.117765638563405,2048
0,2048
1591.809590657552,9437184
165.24526807996932,2048
0,2048
1354.4983334011495,2097152
287.70764668782647,4096
0,4096
637.3352474636496,1048576
68.18771362304688,1024
0,1024
573.1847551133893,2359296
94.70515780978656,1024
0,1024
740.6446668836805,1048576
257.0152282714844,4096
3.3325619167752505,4096
578.0749850802947,1048576
81.20536804199185,1024
27.428732977972935,1024
539.6048227945971,2359296
91.07059902615025,1024
0,1024
712.4741872151699,1048576
291.2415398491734,4096
0,4096
638.9988793267139,1048576
63.2815890842034,1024
16.827053493921607,1024
532.9926808675147,2359296
84.36838785807338,1024
12.964672512476987,1024
716.4319356282555,1048576
275.1350402832031,4096
0,4096
633.6953904893667,1048576
64.4630855984145,1024
14.167361789278049,1024
537.3266008165158,2359296
106.19693332248464,1024
0,1024
720.7552591959633,1048576
285.0850423177058,4096
0,4096
637.6425425211572,1048576
50.926208496095136,1024
10.071860419378492,1024
555.5417802598737,2359296
125.30220879448939,1024
0,1024
702.3705376519099,1048576
297.09604051378,4096
0,4096
1684.3212975396066,2097152
176.3873630099798,4096
0,4096
642.5592634412974,1048576
71.74279954698382,1024
0,1024
1679.8284318712033,2359296
221.21535407172362,1024
5.986955430772184,1024
1282.983356051974,524288
551.3403150770417,2048
9.61091783311524,2048
660.4088677300349,262144
162.20410664876187,512
41.52192009820171,512
525.9619818793401,589824
149.4937472873263,512
0,512
798.5856797960051,262144
530.9846666124163,2048
0,2048
626.5322367350265,262144
158.54305691188898,512
5.743238661023997,512
566.0586886935826,589824
117.44499206542413,512
22.469626532663213,512
901.3228946261955,262144
486.73947652180806,2048
25.494893391923846,2048
641.6797637939509,262144
118.81192525227402,512
0,512
576.6497717963337,589824
155.61315748426756,512
23.56105380588169,512
821.320215861003,262144
530.2270253499316,2048
0,2048
1542.509926689993,524288
328.99644639756974,2048
3.5974714491099347,2048
640.8320532904771,262144
114.71642388237446,512
17.93437533908343,512
2678.3678266737234,589824
557.3272705078069,512
0,512
1577.742894490558,131072
1035.9870062934053,1024
0,1024
893.0365244547572,65536
249.3593427869978,256
20.79539828830218,256
1172.1558041042774,147456
264.9466196695954,256
29.08176845974747,256
1487.127939860021,65536
1042.5991482204897,1024
0,1024
912.1259053548117,65536
272.60780334473213,256
25.569068060976583,256
1073.8849639892605,147456
302.75450812445456,256
18.28405592176757,256
1503.202650282122,65536
1036.3366868760827,1024
0,1024
872.9828728569894,65536
671.7099083794476,1024
0,1024
940.5242072211412,65536
319.7987874348912,256
0,256
1117.8069644504073,147456
294.91848415798967,256
0,256
378.0312008327888,16384
1767.3757341173032,256
0,256
1027.695337931317,37632
